secret,turns,path
chasm,3,salet(yy___) -> brash(__ggy) -> chasm(ggggg)
cheap,4,salet(_y_y_) -> beard(_yy__) -> omega(__g_y) -> cheap(ggggg)
cheat,3,salet(_y_yg) -> heart(yyy_g) -> cheat(ggggg)
check,4,salet(___y_) -> drone(____y) -> beech(__ggy) -> check(ggggg)
cheek,4,salet(___g_) -> diner(___g_) -> emcee(y_yg_) -> cheek(ggggg)
cheer,5,salet(___g_) -> diner(___gg) -> rower(___gg) -> buyer(___gg) -> cheer(ggggg)
chess,3,salet(y__y_) -> rouse(___gy) -> chess(ggggg)
chest,3,salet(y__yg) -> crest(g_ggg) -> chest(ggggg)
chick,4,salet(_____) -> round(_____) -> picky(_yyy_) -> chick(ggggg)
chide,4,salet(___y_) -> drone(y___g) -> hijab(yy___) -> chide(ggggg)
chief,3,salet(___g_) -> diner(_y_g_) -> chief(ggggg)
child,3,salet(__y__) -> could(g__gg) -> child(ggggg)
chili,3,salet(__y__) -> could(g__g_) -> chili(ggggg)
chill,4,salet(__y__) -> could(g__g_) -> chili(gggg_) -> chill(ggggg)
chime,4,salet(___y_) -> drone(____g) -> piece(_y_yg) -> chime(ggggg)
china,3,salet(_y___) -> adorn(y___y) -> china(ggggg)
chirp,4,salet(_____) -> round(y____) -> crimp(gyg_g) -> chirp(ggggg)
chock,4,salet(_____) -> round(_y___) -> hippo(y___y) -> chock(ggggg)
choir,4,salet(_____) -> round(yy___) -> crook(gyg__) -> choir(ggggg)
choke,4,salet(___y_) -> drone(__g_g) -> ovoli(__g__) -> choke(ggggg)
chord,3,salet(_____) -> round(yy__g) -> chord(ggggg)
chore,3,salet(___y_) -> drone(_yg_g) -> chore(ggggg)
chose,3,salet(y__y_) -> rouse(_y_gg) -> chose(ggggg)
chuck,3,salet(_____) -> round(__g__) -> chuck(ggggg)
chump,4,salet(_____) -> round(__g__) -> chuck(ggg__) -> chump(ggggg)
chunk,3,salet(_____) -> round(__gg_) -> chunk(ggggg)
churn,3,salet(_____) -> round(y_gy_) -> churn(ggggg)
chute,3,salet(___yy) -> trite(___gg) -> chute(ggggg)
cider,4,salet(___g_) -> diner(yg_gg) -> rabic(y__yy) -> cider(ggggg)
cigar,4,salet(_y___) -> adorn(y__y_) -> crazy(gyy__) -> cigar(ggggg)
cinch,5,salet(_____) -> round(___y_) -> nymph(y___g) -> wafts(_____) -> cinch(ggggg)
circa,5,salet(_y___) -> adorn(y__y_) -> crazy(gyy__) -> cigar(gg_yy) -> circa(ggggg)
civic,4,salet(_____) -> round(_____) -> picky(_gy__) -> civic(ggggg)
civil,4,salet(__y__) -> could(g__y_) -> clink(gyy__) -> civil(ggggg)
clack,4,salet(_yy__) -> alarm(_gg__) -> clank(ggg_g) -> clack(ggggg)
claim,3,salet(_yy__) -> alarm(_gg_g) -> claim(ggggg)
clamp,3,salet(_yy__) -> alarm(_gg_y) -> clamp(ggggg)
clang,4,salet(_yy__) -> alarm(_gg__) -> clank(gggg_) -> clang(ggggg)
clank,3,salet(_yy__) -> alarm(_gg__) -> clank(ggggg)
clash,3,salet(yyy__) -> class(gggg_) -> clash(ggggg)
clasp,4,salet(yyy__) -> class(gggg_) -> clash(gggg_) -> clasp(ggggg)
class,2,salet(yyy__) -> class(ggggg)
clean,4,salet(_yyy_) -> regal(_y_gy) -> blond(_g_y_) -> clean(ggggg)
clear,3,salet(_yyy_) -> regal(yy_gy) -> clear(ggggg)
cleat,4,salet(_yyyg) -> leapt(yyy_g) -> bleat(_gggg) -> cleat(ggggg)
cleft,3,salet(__yyg) -> flunk(yg___) -> cleft(ggggg)
clerk,3,salet(__yy_) -> elide(yg___) -> clerk(ggggg)
click,4,salet(__y__) -> could(g__y_) -> clink(ggg_g) -> click(ggggg)
cliff,4,salet(__y__) -> could(g__y_) -> clink(ggg__) -> cliff(ggggg)
climb,5,salet(__y__) -> could(g__y_) -> clink(ggg__) -> cliff(ggg__) -> climb(ggggg)
cling,4,salet(__y__) -> could(g__y_) -> clink(gggg_) -> cling(ggggg)
clink,3,salet(__y__) -> could(g__y_) -> clink(ggggg)
cloak,3,salet(_yy__) -> alarm(yg___) -> cloak(ggggg)
clock,3,salet(__y__) -> could(gy_y_) -> clock(ggggg)
clone,4,salet(__yy_) -> elide(_g__g) -> bloke(_gg_g) -> clone(ggggg)
close,3,salet(y_yy_) -> zooms(__g_y) -> close(ggggg)
cloth,3,salet(__y_y) -> troll(y_gy_) -> cloth(ggggg)
cloud,3,salet(__y__) -> could(gyyyg) -> cloud(ggggg)
clout,3,salet(__y_g) -> glint(_g__g) -> clout(ggggg)
clove,5,salet(__yy_) -> elide(_g__g) -> bloke(_gg_g) -> clone(ggg_g) -> clove(ggggg)
clown,4,salet(__y__) -> could(gy_y_) -> clock(ggg__) -> clown(ggggg)
cluck,4,salet(__y__) -> could(g_gy_) -> flunk(_gg_g) -> cluck(ggggg)
clued,4,salet(__yg_) -> leper(y__g_) -> vowel(___gy) -> clued(ggggg)
clump,4,salet(__y__) -> could(g_gy_) -> flunk(_gg__) -> clump(ggggg)
clung,4,salet(__y__) -> could(g_gy_) -> flunk(_ggg_) -> clung(ggggg)
coach,4,salet(_y___) -> adorn(y_y__) -> mocha(_gyyy) -> coach(ggggg)
coast,3,salet(yy__g) -> taroc(yy_yy) -> coast(ggggg)
cobra,3,salet(_y___) -> adorn(y_yg_) -> cobra(ggggg)
cocoa,4,salet(_y___) -> adorn(y_y__) -> mocha(_gg_g) -> cocoa(ggggg)
colon,3,salet(__g__) -> folly(_gg__) -> colon(ggggg)
color,4,salet(__g__) -> folly(_gg__) -> colon(gggg_) -> color(ggggg)
comet,3,salet(___gg) -> cerne(gy___) -> comet(ggggg)
comfy,5,salet(_____) -> round(_g___) -> boozy(_g__g) -> foggy(yg__g) -> comfy(ggggg)
comic,4,salet(_____) -> round(_g___) -> boozy(_g___) -> comic(ggggg)
comma,4,salet(_y___) -> adorn(y_y__) -> mocha(ygy_g) -> comma(ggggg)
conch,4,salet(_____) -> round(_g_y_) -> conic(ggg_y) -> conch(ggggg)
condo,3,salet(_____) -> round(_g_yy) -> condo(ggggg)
conic,3,salet(_____) -> round(_g_y_) -> conic(ggggg)
copse,4,salet(y__y_) -> rouse(_g_gg) -> piing(y____) -> copse(ggggg)
coral,4,salet(_yy__) -> alarm(yy_y_) -> rubli(y__y_) -> coral(ggggg)
corer,4,salet(___g_) -> diner(___gg) -> rower(yg_gg) -> corer(ggggg)
corny,3,salet(_____) -> round(yg_g_) -> corny(ggggg)
couch,3,salet(_____) -> round(_gg__) -> couch(ggggg)
cough,4,salet(_____) -> round(_gg__) -> couch(ggg_g) -> cough(ggggg)
could,2,salet(__y__) -> could(ggggg)
count,3,salet(____g) -> ingot(_y_yg) -> count(ggggg)
coupe,4,salet(___y_) -> drone(__y_g) -> vogue(_g_yg) -> coupe(ggggg)
court,4,salet(____g) -> ingot(___yg) -> trout(_yyyg) -> court(ggggg)
coven,4,salet(___g_) -> diner(__yg_) -> women(_g_gg) -> coven(ggggg)
cover,5,salet(___g_) -> diner(___gg) -> rower(_g_gg) -> mucky(__y__) -> cover(ggggg)
covet,4,salet(___gg) -> cerne(gy___) -> comet(gg_gg) -> covet(ggggg)
covey,4,salet(___g_) -> diner(___g_) -> emcee(__yg_) -> covey(ggggg)
cower,5,salet(___g_) -> diner(___gg) -> rower(_gggg) -> chime(g___y) -> cower(ggggg)
coyly,3,salet(__y__) -> could(gg_g_) -> coyly(ggggg)
crack,4,salet(_y___) -> adorn(y__y_) -> crazy(ggg__) -> crack(ggggg)
craft,3,salet(_y__g) -> crudo(gg___) -> craft(ggggg)
cramp,5,salet(_y___) -> adorn(y__y_) -> crazy(ggg__) -> crack(ggg__) -> cramp(ggggg)
crane,4,salet(_y_y_) -> beard(_ygy_) -> crave(ggg_g) -> crane(ggggg)
crank,4,salet(_y___) -> adorn(y__yy) -> pricy(_g_y_) -> crank(ggggg)
crash,3,salet(yy___) -> brash(_gggg) -> crash(ggggg)
crass,3,salet(yy___) -> brash(_ggg_) -> crass(ggggg)
crate,3,salet(_y_yy) -> grate(_gggg) -> crate(ggggg)
crave,3,salet(_y_y_) -> beard(_ygy_) -> crave(ggggg)
crawl,4,salet(_yy__) -> alarm(_ygy_) -> gibed(_____) -> crawl(ggggg)
craze,5,salet(_y_y_) -> beard(_ygy_) -> crave(ggg_g) -> crane(ggg_g) -> craze(ggggg)
crazy,3,salet(_y___) -> adorn(y__y_) -> crazy(ggggg)
creak,4,salet(_y_y_) -> beard(_yyy_) -> cream(gggg_) -> creak(ggggg)
cream,3,salet(_y_y_) -> beard(_yyy_) -> cream(ggggg)
credo,3,salet(___y_) -> drone(ygy_y) -> credo(ggggg)
creed,4,salet(___g_) -> diner(y__gy) -> befog(_y___) -> creed(ggggg)
creek,4,salet(___g_) -> diner(___gy) -> rupee(y__gy) -> creek(ggggg)
creep,4,salet(___g_) -> diner(___gy) -> rupee(y_ygy) -> creep(ggggg)
creme,4,salet(___y_) -> drone(_g__g) -> prime(_g_gg) -> creme(ggggg)
crepe,4,salet(___y_) -> drone(_g__g) -> prime(yg__g) -> crepe(ggggg)
crept,3,salet(___yg) -> erect(_ggyg) -> crept(ggggg)
cress,4,salet(y__y_) -> rouse(y__gy) -> duces(__yyg) -> cress(ggggg)
crest,2,salet(y__yg) -> crest(ggggg)
crick,4,salet(_____) -> round(y____) -> crimp(ggg__) -> crick(ggggg)
cried,4,salet(___g_) -> diner(yy_gy) -> pricy(_ggy_) -> cried(ggggg)
crier,3,salet(___g_) -> diner(_y_gg) -> crier(ggggg)
crime,4,salet(___y_) -> drone(_g__g) -> prime(_gggg) -> crime(ggggg)
crimp,3,salet(_____) -> round(y____) -> crimp(ggggg)
crisp,4,salet(y____) -> missy(_y_g_) -> frisk(_ggg_) -> crisp(ggggg)
croak,3,salet(_y___) -> adorn(y_gy_) -> croak(ggggg)
crock,4,salet(_____) -> round(yy___) -> crook(ggg_g) -> crock(ggggg)
crone,3,salet(___y_) -> drone(_gggg) -> crone(ggggg)
crony,4,salet(_____) -> round(yy_g_) -> pyxie(_y___) -> crony(ggggg)
crook,3,salet(_____) -> round(yy___) -> crook(ggggg)
cross,4,salet(y____) -> missy(__yg_) -> urged(_g___) -> cross(ggggg)
croup,4,salet(_____) -> round(yyy__) -> furor(_yyy_) -> croup(ggggg)
crowd,4,salet(_____) -> round(yy__g) -> chord(g_gyg) -> crowd(ggggg)
crown,4,salet(_____) -> round(yy_y_) -> bagie(_____) -> crown(ggggg)
crude,4,salet(___y_) -> drone(yg__g) -> pride(_g_gg) -> crude(ggggg)
cruel,3,salet(__yg_) -> leper(y__gy) -> cruel(ggggg)
crumb,4,salet(_____) -> round(y_g__) -> crump(gggg_) -> crumb(ggggg)
crump,3,salet(_____) -> round(y_g__) -> crump(ggggg)
crush,4,salet(y____) -> missy(___g_) -> brush(_gggg) -> crush(ggggg)
crust,4,salet(y___g) -> frost(_g_gg) -> trust(_gggg) -> crust(ggggg)
crypt,3,salet(____g) -> ingot(____g) -> crypt(ggggg)
cubic,4,salet(_____) -> round(__y__) -> jumpy(_g___) -> cubic(ggggg)
cumin,4,salet(_____) -> round(__yy_) -> hunky(_gy__) -> cumin(ggggg)
curio,4,salet(_____) -> round(yyy__) -> furor(_ggy_) -> curio(ggggg)
curly,3,salet(__y__) -> could(g_yg_) -> curly(ggggg)
curry,3,salet(_____) -> round(y_y__) -> curry(ggggg)
curse,4,salet(y__y_) -> rouse(y_ygg) -> crone(gy__g) -> curse(ggggg)
curve,4,salet(___y_) -> drone(_y__g) -> merge(__g_g) -> curve(ggggg)
curvy,4,salet(_____) -> round(y_y__) -> curry(ggg_g) -> curvy(ggggg)
cutie,3,salet(___yy) -> trite(y_y_g) -> cutie(ggggg)
cyber,5,salet(___g_) -> diner(___gg) -> rower(___gg) -> buyer(y_ygg) -> cyber(ggggg)
cycle,4,salet(__yy_) -> elide(_y__g) -> noble(___gg) -> cycle(ggggg)
cynic,4,salet(_____) -> round(___y_) -> nymph(yg___) -> cynic(ggggg)
daddy,4,salet(_g___) -> cairn(_g___) -> gaudy(_g_gg) -> daddy(ggggg)
daily,3,salet(_gy__) -> banal(_g__y) -> daily(ggggg)
dairy,4,salet(_g___) -> cairn(_ggg_) -> thoft(_____) -> dairy(ggggg)
daisy,3,salet(yg___) -> roins(__g_y) -> daisy(ggggg)
dally,3,salet(_gg__) -> rally(_gggg) -> dally(ggggg)
dance,3,salet(_g_y_) -> crumb(y____) -> dance(ggggg)
dandy,4,salet(_g___) -> cairn(_g__y) -> dodgy(g_y_g) -> dandy(ggggg)
datum,3,salet(_g__y) -> corby(_____) -> datum(ggggg)
daunt,4,salet(_g__g) -> thing(y__g_) -> divis(g____) -> daunt(ggggg)
dealt,3,salet(_yyyg) -> leapt(ygg_g) -> dealt(ggggg)
death,4,salet(_y_yy) -> grate(__ggy) -> heath(_gggg) -> death(ggggg)
debar,3,salet(_y_y_) -> beard(ygyyy) -> debar(ggggg)
debit,4,salet(___yg) -> erect(y___g) -> debut(ggg_g) -> debit(ggggg)
debug,3,salet(___y_) -> drone(g___y) -> debug(ggggg)
debut,3,salet(___yg) -> erect(y___g) -> debut(ggggg)
decal,4,salet(_yyy_) -> regal(_g_gg) -> pedal(_gygg) -> decal(ggggg)
decay,3,salet(_y_y_) -> beard(_gy_y) -> decay(ggggg)
decor,3,salet(___y_) -> drone(gyy_y) -> decor(ggggg)
decoy,3,salet(___y_) -> drone(g_y_y) -> decoy(ggggg)
decry,3,salet(___y_) -> drone(gy__y) -> decry(ggggg)
defer,3,salet(___g_) -> diner(g__gg) -> defer(ggggg)
deign,3,salet(___y_) -> drone(g__yy) -> deign(ggggg)
deity,3,salet(___yy) -> trite(__ggy) -> deity(ggggg)
delay,2,salet(_ygy_) -> delay(ggggg)
delta,2,salet(_ygyy) -> delta(ggggg)
delve,3,salet(__gy_) -> himbo(_____) -> delve(ggggg)
demon,3,salet(___y_) -> drone(g_yyy) -> demon(ggggg)
demur,4,salet(___y_) -> drone(gy__y) -> decry(gg_y_) -> demur(ggggg)
denim,4,salet(___y_) -> drone(g__yy) -> deign(ggy_y) -> denim(ggggg)
dense,3,salet(y__y_) -> rouse(___gg) -> dense(ggggg)
depot,4,salet(___yg) -> erect(y___g) -> debut(gg__g) -> depot(ggggg)
depth,4,salet(___yy) -> trite(___gy) -> empty(y_gg_) -> depth(ggggg)
derby,4,salet(___y_) -> drone(gy__y) -> decry(gg_yg) -> derby(ggggg)
deter,3,salet(___gy) -> outer(__ggg) -> deter(ggggg)
detox,3,salet(___yy) -> trite(y___y) -> detox(ggggg)
deuce,3,salet(___y_) -> drone(g___g) -> deuce(ggggg)
devil,4,salet(__yy_) -> elide(yyyy_) -> biffy(_y___) -> devil(ggggg)
diary,4,salet(_y___) -> adorn(yy_g_) -> sucky(____g) -> diary(ggggg)
dicey,3,salet(___g_) -> diner(gg_g_) -> dicey(ggggg)
digit,4,salet(____g) -> ingot(y_g_g) -> thraw(y____) -> digit(ggggg)
dilly,4,salet(__g__) -> folly(__ggg) -> dhobi(g___y) -> dilly(ggggg)
dimly,3,salet(__y__) -> could(___gy) -> dimly(ggggg)
diner,2,salet(___g_) -> diner(ggggg)
dingo,3,salet(_____) -> round(_y_yy) -> dingo(ggggg)
dingy,3,salet(_____) -> round(___yy) -> dingy(ggggg)
diode,3,salet(___y_) -> drone(g_g_g) -> diode(ggggg)
dirge,3,salet(___y_) -> drone(gy__g) -> dirge(ggggg)
dirty,3,salet(____y) -> north(__gg_) -> dirty(ggggg)
disco,4,salet(y____) -> missy(_gg__) -> bison(_ggy_) -> disco(ggggg)
ditch,4,salet(____y) -> north(___yg) -> wiped(_g__y) -> ditch(ggggg)
ditto,3,salet(____y) -> north(_y_g_) -> ditto(ggggg)
ditty,5,salet(____y) -> north(___g_) -> kitty(_gggg) -> blond(____y) -> ditty(ggggg)
diver,3,salet(___g_) -> diner(gg_gg) -> diver(ggggg)
dizzy,4,salet(_____) -> round(____y) -> giddy(_gy_g) -> dizzy(ggggg)
dodge,3,salet(___y_) -> drone(g_y_g) -> dodge(ggggg)
dodgy,4,salet(_____) -> round(_g__y) -> dowdy(gg_yg) -> dodgy(ggggg)
dogma,3,salet(_y___) -> adorn(yyy__) -> dogma(ggggg)
doing,3,salet(_____) -> round(_g_gy) -> doing(ggggg)
dolly,4,salet(__g__) -> folly(_gggg) -> hadji(__y__) -> dolly(ggggg)
donor,3,salet(_____) -> round(yg_yy) -> donor(ggggg)
donut,4,salet(____g) -> ingot(_y_yg) -> count(_gyyg) -> donut(ggggg)
dopey,3,salet(___g_) -> diner(g__g_) -> dopey(ggggg)
doubt,4,salet(____g) -> ingot(___yg) -> trout(__yyg) -> doubt(ggggg)
dough,3,salet(_____) -> round(_gg_y) -> dough(ggggg)
dowdy,3,salet(_____) -> round(_g__y) -> dowdy(ggggg)
dowel,5,salet(__yg_) -> leper(y__g_) -> vowel(_gggg) -> bowel(_gggg) -> dowel(ggggg)
downy,4,salet(_____) -> round(_g_gy) -> doing(gg_g_) -> downy(ggggg)
dowry,3,salet(_____) -> round(yg__y) -> dowry(ggggg)
dozen,3,salet(___g_) -> diner(g_yg_) -> dozen(ggggg)
draft,3,salet(_y__g) -> crudo(_g_y_) -> draft(ggggg)
drain,3,salet(_y___) -> adorn(yy_yg) -> drain(ggggg)
drake,4,salet(_y_y_) -> beard(_ygyy) -> drape(ggg_g) -> drake(ggggg)
drama,4,salet(_y___) -> adorn(yy_y_) -> braid(_gg_y) -> drama(ggggg)
drank,4,salet(_y___) -> adorn(yy_yy) -> brand(_gggy) -> drank(ggggg)
drape,3,salet(_y_y_) -> beard(_ygyy) -> drape(ggggg)
drawl,4,salet(_yy__) -> alarm(_ygy_) -> gibed(____y) -> drawl(ggggg)
drawn,4,salet(_y___) -> adorn(yy_yg) -> drain(ggg_g) -> drawn(ggggg)
dread,3,salet(_y_y_) -> beard(_yyyg) -> dread(ggggg)
dream,3,salet(_y_y_) -> beard(_yyyy) -> dream(ggggg)
dress,4,salet(y__y_) -> rouse(y__gy) -> duces(g__yg) -> dress(ggggg)
dried,3,salet(___g_) -> diner(gy_gy) -> dried(ggggg)
drier,3,salet(___g_) -> diner(gy_gg) -> drier(ggggg)
drift,4,salet(____g) -> ingot(y___g) -> fruit(yg_yg) -> drift(ggggg)
drill,4,salet(__y__) -> could(___gy) -> dimly(gy_g_) -> drill(ggggg)
drink,3,salet(_____) -> round(y__gy) -> drink(ggggg)
drive,3,salet(___y_) -> drone(gg__g) -> drive(ggggg)
droit,4,salet(____g) -> ingot(y__yg) -> orbit(yg_gg) -> droit(ggggg)
droll,3,salet(__y__) -> could(_y_gy) -> droll(ggggg)
drone,2,salet(___y_) -> drone(ggggg)
drool,3,salet(__y__) -> could(_y_yy) -> drool(ggggg)
droop,3,salet(_____) -> round(yy__y) -> droop(ggggg)
dross,4,salet(y____) -> missy(__yg_) -> urged(_g__y) -> dross(ggggg)
drove,3,salet(___y_) -> drone(ggg_g) -> drove(ggggg)
drown,3,salet(_____) -> round(yy_yy) -> drown(ggggg)
druid,3,salet(_____) -> round(y_g_g) -> druid(ggggg)
drunk,3,salet(_____) -> round(y_ggy) -> drunk(ggggg)
dryer,4,salet(___g_) -> diner(g__gg) -> defer(g__gg) -> dryer(ggggg)
dryly,4,salet(__y__) -> could(___gy) -> dimly(g__gg) -> dryly(ggggg)
duchy,4,salet(_____) -> round(__y_y) -> dumpy(gg__g) -> duchy(ggggg)
dully,4,salet(__g__) -> folly(__ggg) -> dhobi(g____) -> dully(ggggg)
dummy,4,salet(_____) -> round(__y_y) -> dumpy(ggg_g) -> dummy(ggggg)
dumpy,3,salet(_____) -> round(__y_y) -> dumpy(ggggg)
dunce,3,salet(___y_) -> drone(g__yg) -> dunce(ggggg)
dusky,4,salet(y____) -> missy(__g_g) -> bushy(_gg_g) -> dusky(ggggg)
dusty,3,salet(y___y) -> gourd(__y_y) -> dusty(ggggg)
dutch,4,salet(____y) -> north(___yg) -> wiped(____y) -> dutch(ggggg)
duvet,3,salet(___gg) -> cerne(_y___) -> duvet(ggggg)
dwarf,4,salet(_y___) -> adorn(yy_g_) -> sucky(_____) -> dwarf(ggggg)
dwell,3,salet(__yy_) -> elide(yy_y_) -> dwell(ggggg)
dwelt,3,salet(__yyg) -> flunk(_y___) -> dwelt(ggggg)
dying,3,salet(_____) -> round(___gy) -> dying(ggggg)
eager,3,salet(_g_g_) -> gamer(yg_gg) -> eager(ggggg)
eagle,4,salet(_gyy_) -> cable(_g_gg) -> mudir(_____) -> eagle(ggggg)
early,3,salet(_gyy_) -> cable(_g_gy) -> early(ggggg)
earth,3,salet(_g_yy) -> bathe(_gyyy) -> earth(ggggg)
easel,2,salet(ygyg_) -> easel(ggggg)
eaten,3,salet(_g_gy) -> eater(gggg_) -> eaten(ggggg)
eater,2,salet(_g_gy) -> eater(ggggg)
ebony,3,salet(___y_) -> drone(__ggy) -> ebony(ggggg)
eclat,2,salet(_ygyg) -> eclat(ggggg)
edict,3,salet(___yg) -> erect(g__gg) -> edict(ggggg)
edify,3,salet(___y_) -> drone(y___y) -> edify(ggggg)
eerie,4,salet(___y_) -> drone(_y__g) -> merge(_gg_g) -> eerie(ggggg)
egret,3,salet(___gg) -> cerne(_yg_y) -> egret(ggggg)
eight,3,salet(___yg) -> erect(g___g) -> eight(ggggg)
eject,3,salet(___yg) -> erect(g_ggg) -> eject(ggggg)
eking,4,salet(___y_) -> drone(___gy) -> penny(_y_g_) -> eking(ggggg)
elate,3,salet(_yyyy) -> petal(_yyyy) -> elate(ggggg)
elbow,3,salet(__yy_) -> elide(gg___) -> elbow(ggggg)
elder,3,salet(__yg_) -> leper(yy_gg) -> elder(ggggg)
elect,3,salet(__yyg) -> flunk(_g___) -> elect(ggggg)
elegy,3,salet(__yy_) -> elide(gg__y) -> elegy(ggggg)
elfin,3,salet(__yy_) -> elide(ggy__) -> elfin(ggggg)
elide,2,salet(__yy_) -> elide(ggggg)
elite,3,salet(__yyy) -> title(yy_yg) -> elite(ggggg)
elope,3,salet(__yy_) -> elide(gg__g) -> elope(ggggg)
elude,3,salet(__yy_) -> elide(gg_gg) -> elude(ggggg)
email,3,salet(_yyy_) -> regal(_y_yg) -> email(ggggg)
embed,3,salet(___g_) -> diner(y__g_) -> embed(ggggg)
ember,5,salet(___g_) -> diner(___gg) -> rower(___gg) -> buyer(y__gg) -> ember(ggggg)
emcee,3,salet(___g_) -> diner(___g_) -> emcee(ggggg)
empty,3,salet(___yy) -> trite(___gy) -> empty(ggggg)
enact,3,salet(_y_yg) -> heart(_yg_g) -> enact(ggggg)
endow,3,salet(___y_) -> drone(y_yyy) -> endow(ggggg)
enema,4,salet(_y_y_) -> beard(_yy__) -> omega(_yg_g) -> enema(ggggg)
enemy,4,salet(___y_) -> drone(___yy) -> begin(_y__y) -> enemy(ggggg)
enjoy,3,salet(___y_) -> drone(__yyy) -> enjoy(ggggg)
ennui,4,salet(___y_) -> drone(___yy) -> begin(_y_yy) -> ennui(ggggg)
ensue,3,salet(y__y_) -> rouse(__yyg) -> ensue(ggggg)
enter,4,salet(___gy) -> outer(__ggg) -> deter(_yggg) -> enter(ggggg)
entry,4,salet(___yy) -> trite(yy__y) -> retro(_ygg_) -> entry(ggggg)
envoy,4,salet(___y_) -> drone(__yyy) -> enjoy(gg_gg) -> envoy(ggggg)
epoch,3,salet(___y_) -> drone(__g_y) -> epoch(ggggg)
epoxy,4,salet(___y_) -> drone(__g_y) -> epoch(ggg__) -> epoxy(ggggg)
equal,3,salet(_yyy_) -> regal(_y_gg) -> equal(ggggg)
equip,4,salet(___y_) -> drone(____y) -> beech(_y___) -> equip(ggggg)
erase,2,salet(yy_y_) -> erase(ggggg)
erect,2,salet(___yg) -> erect(ggggg)
erode,3,salet(___y_) -> drone(ygg_g) -> erode(ggggg)
error,3,salet(___y_) -> drone(_gy_y) -> error(ggggg)
erupt,3,salet(___yg) -> erect(gg__g) -> erupt(ggggg)
essay,3,salet(yy_y_) -> erase(g_yy_) -> essay(ggggg)
ester,2,salet(y__gy) -> ester(ggggg)
ether,4,salet(___gy) -> outer(__ygg) -> tiger(y__gg) -> ether(ggggg)
ethic,3,salet(___yy) -> trite(y_y_y) -> ethic(ggggg)
ethos,3,salet(y__yy) -> those(yyyyy) -> ethos(ggggg)
etude,3,salet(___yy) -> trite(y___g) -> etude(ggggg)
evade,4,salet(_y_y_) -> beard(_yg_y) -> adage(_yg_g) -> evade(ggggg)
event,3,salet(___yg) -> erect(g_g_g) -> event(ggggg)
every,5,salet(___y_) -> drone(_y__y) -> merry(_y_gg) -> divis(__y__) -> every(ggggg)
evict,4,salet(___yg) -> erect(g__gg) -> edict(g_ggg) -> evict(ggggg)
evoke,4,salet(___y_) -> drone(__g_g) -> ovoli(_gg__) -> evoke(ggggg)
exact,4,salet(_y_yg) -> heart(_yg_g) -> enact(g_ggg) -> exact(ggggg)
exalt,3,salet(_yyyg) -> leapt(yyg_g) -> exalt(ggggg)
excel,4,salet(__yg_) -> leper(yy_g_) -> wheel(__ygg) -> excel(ggggg)
exert,3,salet(___yg) -> erect(gyg_g) -> exert(ggggg)
exile,3,salet(__yy_) -> elide(gyg_g) -> exile(ggggg)
exist,3,salet(y__yg) -> crest(__ygg) -> exist(ggggg)
expel,3,salet(__yg_) -> leper(yygg_) -> expel(ggggg)
extol,3,salet(__yyy) -> title(__gyy) -> extol(ggggg)
extra,3,salet(_y_yy) -> grate(_yyyy) -> extra(ggggg)
exult,3,salet(__yyg) -> flunk(_yg__) -> exult(ggggg)
eying,4,salet(___y_) -> drone(___gy) -> penny(_y_gy) -> eying(ggggg)
fable,3,salet(_gyy_) -> cable(_gggg) -> fable(ggggg)
facet,3,salet(_g_gg) -> cadet(yg_gg) -> facet(ggggg)
faint,3,salet(_g__g) -> thing(y_gg_) -> faint(ggggg)
fairy,4,salet(_g___) -> cairn(_ggg_) -> thoft(___y_) -> fairy(ggggg)
faith,4,salet(_g__y) -> corby(_____) -> datum(_gy__) -> faith(ggggg)
false,2,salet(yggy_) -> false(ggggg)
fancy,3,salet(_g___) -> cairn(yg__y) -> fancy(ggggg)
fanny,4,salet(_g___) -> cairn(_g__y) -> dodgy(____g) -> fanny(ggggg)
farce,3,salet(_g_y_) -> crumb(yy___) -> farce(ggggg)
fatal,3,salet(_gy_y) -> natal(_gggg) -> fatal(ggggg)
fatty,4,salet(_g__y) -> corby(____g) -> thoft(y__yy) -> fatty(ggggg)
fault,2,salet(_gy_g) -> fault(ggggg)
fauna,4,salet(_g___) -> cairn(_g__y) -> dodgy(_____) -> fauna(ggggg)
favor,5,salet(_g___) -> cairn(_g_y_) -> harpy(_gy__) -> zooms(_y___) -> favor(ggggg)
feast,3,salet(yy_yg) -> bousy(___g_) -> feast(ggggg)
fecal,4,salet(_yyy_) -> regal(_g_gg) -> pedal(_g_gg) -> fecal(ggggg)
feign,4,salet(___y_) -> drone(___yy) -> begin(_gyyg) -> feign(ggggg)
fella,3,salet(_ygy_) -> delay(_ggy_) -> fella(ggggg)
felon,3,salet(__gy_) -> himbo(____y) -> felon(ggggg)
femme,4,salet(___y_) -> drone(____g) -> piece(__y_g) -> femme(ggggg)
femur,4,salet(___y_) -> drone(_y__y) -> merry(ygy__) -> femur(ggggg)
fence,4,salet(___y_) -> drone(___yg) -> hence(_gggg) -> fence(ggggg)
feral,3,salet(_yyy_) -> regal(yg_gg) -> feral(ggggg)
ferry,5,salet(___y_) -> drone(_y__y) -> merry(_gggg) -> berry(_gggg) -> ferry(ggggg)
fetal,3,salet(_yyyy) -> petal(_gggg) -> fetal(ggggg)
fetch,4,salet(___yy) -> trite(y___y) -> detox(_gg__) -> fetch(ggggg)
