secret,turns,path
chair,4,reast(y_g__) -> drawn(_yg__) -> claro(g_gy_) -> chair(ggggg)
chalk,3,reast(__g__) -> clank(gyg_g) -> chalk(ggggg)
champ,4,reast(__g__) -> clank(g_g__) -> chaff(ggg__) -> champ(ggggg)
chant,3,reast(__g_g) -> plait(__g_g) -> chant(ggggg)
chaos,3,reast(__gy_) -> plans(__g_g) -> chaos(ggggg)
chard,4,reast(y_g__) -> drawn(yyg__) -> hoard(y_ggg) -> chard(ggggg)
charm,4,reast(y_g__) -> drawn(_yg__) -> claro(g_gg_) -> charm(ggggg)
chart,3,reast(y_g_g) -> craft(gyg_g) -> chart(ggggg)
chase,3,reast(_ygg_) -> phase(_gggg) -> chase(ggggg)
chasm,3,reast(__gg_) -> slash(__ggy) -> chasm(ggggg)
cheap,4,reast(_yy__) -> angel(y__y_) -> mavie(_y__y) -> cheap(ggggg)
cheat,3,reast(_yy_g) -> cleat(g_ggg) -> cheat(ggggg)
check,3,reast(_y___) -> clone(g___y) -> check(ggggg)
cheek,4,reast(_y___) -> clone(g___y) -> check(ggg_g) -> cheek(ggggg)
cheer,5,reast(yy___) -> probe(_y__y) -> diner(___gg) -> queer(__ggg) -> cheer(ggggg)
chess,3,reast(_y_g_) -> close(g__gy) -> chess(ggggg)
chest,3,reast(_y_gg) -> quest(__ggg) -> chest(ggggg)
chick,4,reast(_____) -> build(__g__) -> coign(g_g__) -> chick(ggggg)
chide,3,reast(_y___) -> clone(g___g) -> chide(ggggg)
chief,4,reast(_y___) -> clone(g___y) -> check(ggy__) -> chief(ggggg)
child,3,reast(_____) -> build(__ggg) -> child(ggggg)
chili,4,reast(_____) -> build(__gg_) -> icily(yygg_) -> chili(ggggg)
chill,4,reast(_____) -> build(__gg_) -> icily(_ygg_) -> chill(ggggg)
chime,4,reast(_y___) -> clone(g___g) -> chide(ggg_g) -> chime(ggggg)
china,4,reast(__y__) -> monal(__yy_) -> aping(y_gg_) -> china(ggggg)
chirp,3,reast(y____) -> courd(g__g_) -> chirp(ggggg)
chock,4,reast(_____) -> build(_____) -> choof(ggg__) -> chock(ggggg)
choir,4,reast(y____) -> courd(gy_y_) -> croon(gyg__) -> choir(ggggg)
choke,3,reast(_y___) -> clone(g_g_g) -> choke(ggggg)
chord,3,reast(y____) -> courd(gy_gg) -> chord(ggggg)
chore,3,reast(yy___) -> probe(_yg_g) -> chore(ggggg)
chose,3,reast(_y_g_) -> close(g_ggg) -> chose(ggggg)
chuck,4,reast(_____) -> build(_y___) -> pouch(__ggy) -> chuck(ggggg)
chump,4,reast(_____) -> build(_y___) -> pouch(y_gyy) -> chump(ggggg)
chunk,4,reast(_____) -> build(_y___) -> pouch(__gyy) -> chunk(ggggg)
churn,3,reast(y____) -> courd(g_gg_) -> churn(ggggg)
chute,3,reast(_y__y) -> title(y___g) -> chute(ggggg)
cider,5,reast(yy___) -> probe(_y__y) -> diner(yg_gg) -> wider(_gggg) -> cider(ggggg)
cigar,3,reast(y_y__) -> carom(gyy__) -> cigar(ggggg)
cinch,6,reast(_____) -> build(__y__) -> pinky(_gg__) -> winch(_gggg) -> finch(_gggg) -> cinch(ggggg)
circa,3,reast(y_y__) -> carom(gyg__) -> circa(ggggg)
civic,4,reast(_____) -> build(__y__) -> pinky(_g___) -> civic(ggggg)
civil,4,reast(_____) -> build(__yy_) -> folic(__ygy) -> civil(ggggg)
clack,3,reast(__g__) -> clank(ggg_g) -> clack(ggggg)
claim,4,reast(__g__) -> clank(ggg__) -> clamp(gggy_) -> claim(ggggg)
clamp,3,reast(__g__) -> clank(ggg__) -> clamp(ggggg)
clang,3,reast(__g__) -> clank(gggg_) -> clang(ggggg)
clank,2,reast(__g__) -> clank(ggggg)
clash,3,reast(__gg_) -> slash(_gggg) -> clash(ggggg)
clasp,3,reast(__gg_) -> slash(_ggg_) -> clasp(ggggg)
class,3,reast(__gg_) -> slash(yggg_) -> class(ggggg)
clean,4,reast(_yy__) -> angel(yy_yy) -> lance(yyyyy) -> clean(ggggg)
clear,3,reast(yyy__) -> wager(_y_yg) -> clear(ggggg)
cleat,2,reast(_yy_g) -> cleat(ggggg)
cleft,3,reast(_y__g) -> civet(g__yg) -> cleft(ggggg)
clerk,5,reast(yy___) -> probe(_y__y) -> diner(___yy) -> query(__gg_) -> clerk(ggggg)
click,4,reast(_____) -> build(__gy_) -> clink(ggg_g) -> click(ggggg)
cliff,4,reast(_____) -> build(__gy_) -> clink(ggg__) -> cliff(ggggg)
climb,3,reast(_____) -> build(y_gy_) -> climb(ggggg)
cling,4,reast(_____) -> build(__gy_) -> clink(gggg_) -> cling(ggggg)
clink,3,reast(_____) -> build(__gy_) -> clink(ggggg)
cloak,3,reast(__y__) -> monal(_y_gy) -> cloak(ggggg)
clock,4,reast(_____) -> build(___y_) -> clown(ggg__) -> clock(ggggg)
clone,2,reast(_y___) -> clone(ggggg)
close,2,reast(_y_g_) -> close(ggggg)
cloth,3,reast(____y) -> ponty(_y_g_) -> cloth(ggggg)
cloud,3,reast(_____) -> build(_y_yg) -> cloud(ggggg)
clout,3,reast(____g) -> flint(_g__g) -> clout(ggggg)
clove,3,reast(_y___) -> clone(ggg_g) -> clove(ggggg)
clown,3,reast(_____) -> build(___y_) -> clown(ggggg)
cluck,4,reast(_____) -> build(_y_y_) -> plunk(_gg_g) -> cluck(ggggg)
clued,3,reast(_y___) -> clone(gg__y) -> clued(ggggg)
clump,4,reast(_____) -> build(_y_y_) -> plunk(ygg__) -> clump(ggggg)
clung,4,reast(_____) -> build(_y_y_) -> plunk(_ggg_) -> clung(ggggg)
coach,4,reast(__g__) -> clank(g_g__) -> chaff(gyg__) -> coach(ggggg)
coast,3,reast(__ggg) -> toast(_gggg) -> coast(ggggg)
cobra,3,reast(y_y__) -> carom(gyyy_) -> cobra(ggggg)
cocoa,4,reast(__y__) -> monal(_g_y_) -> vodka(_g__g) -> cocoa(ggggg)
colon,4,reast(_____) -> build(___y_) -> clown(gyy_g) -> colon(ggggg)
color,4,reast(y____) -> courd(gg_y_) -> corny(ggy__) -> color(ggggg)
comet,3,reast(_y__g) -> civet(g__gg) -> comet(ggggg)
comfy,4,reast(_____) -> build(_____) -> choof(g_y_y) -> comfy(ggggg)
comic,4,reast(_____) -> build(__y__) -> pinky(_y___) -> comic(ggggg)
comma,4,reast(__y__) -> monal(yg_y_) -> dogma(_g_gg) -> comma(ggggg)
conch,4,reast(_____) -> build(_____) -> choof(gyy__) -> conch(ggggg)
condo,4,reast(_____) -> build(____y) -> dowdy(_g_g_) -> condo(ggggg)
conic,5,reast(_____) -> build(__y__) -> pinky(_yg__) -> ionic(_gggg) -> conic(ggggg)
copse,3,reast(_y_g_) -> close(g_ygg) -> copse(ggggg)
coral,3,reast(y_y__) -> carom(gygy_) -> coral(ggggg)
corer,5,reast(yy___) -> probe(_yy_y) -> mower(_g_gg) -> cover(gg_gg) -> corer(ggggg)
corny,3,reast(y____) -> courd(gg_y_) -> corny(ggggg)
couch,4,reast(_____) -> build(_y___) -> pouch(_gggg) -> couch(ggggg)
cough,4,reast(_____) -> build(_y___) -> pouch(_ggyg) -> cough(ggggg)
could,4,reast(_____) -> build(_y_gg) -> would(_gggg) -> could(ggggg)
count,3,reast(____g) -> flint(___gg) -> count(ggggg)
coupe,3,reast(_y___) -> clone(g_y_g) -> coupe(ggggg)
court,3,reast(y___g) -> bruit(_yg_g) -> court(ggggg)
coven,3,reast(_y___) -> clone(g_yyy) -> coven(ggggg)
cover,4,reast(yy___) -> probe(_yy_y) -> mower(_g_gg) -> cover(ggggg)
covet,3,reast(_y__g) -> civet(g_ggg) -> covet(ggggg)
covey,3,reast(_y___) -> clone(g_y_y) -> covey(ggggg)
cower,5,reast(yy___) -> probe(_yy_y) -> mower(_gggg) -> lower(_gggg) -> cower(ggggg)
coyly,4,reast(_____) -> build(___g_) -> ghyll(__gg_) -> coyly(ggggg)
crack,5,reast(y_g__) -> drawn(_gg__) -> graip(_gg__) -> crazy(ggg__) -> crack(ggggg)
craft,2,reast(y_g_g) -> craft(ggggg)
cramp,4,reast(y_g__) -> drawn(_gg__) -> graip(_gg_g) -> cramp(ggggg)
crane,4,reast(yyg__) -> brace(_ggyg) -> craze(ggg_g) -> crane(ggggg)
crank,4,reast(y_g__) -> drawn(_gg_y) -> franc(_gggy) -> crank(ggggg)
crash,3,reast(y_gg_) -> crass(gggg_) -> crash(ggggg)
crass,2,reast(y_gg_) -> crass(ggggg)
crate,3,reast(yyg_y) -> trace(yggyg) -> crate(ggggg)
crave,5,reast(yyg__) -> brace(_ggyg) -> craze(ggg_g) -> crane(ggg_g) -> crave(ggggg)
crawl,3,reast(y_g__) -> drawn(_ggg_) -> crawl(ggggg)
craze,3,reast(yyg__) -> brace(_ggyg) -> craze(ggggg)
crazy,4,reast(y_g__) -> drawn(_gg__) -> graip(_gg__) -> crazy(ggggg)
creak,5,reast(yyy__) -> wager(_y_yy) -> bread(_ggg_) -> freak(_gggg) -> creak(ggggg)
cream,5,reast(yyy__) -> wager(_y_yy) -> bread(_ggg_) -> freak(_ggg_) -> cream(ggggg)
credo,3,reast(yy___) -> probe(_gy_y) -> credo(ggggg)
creed,4,reast(yy___) -> probe(_g__y) -> cried(gg_gg) -> creed(ggggg)
creek,5,reast(yy___) -> probe(_g__y) -> cried(gg_g_) -> cruel(gg_g_) -> creek(ggggg)
creep,3,reast(yy___) -> probe(yg__y) -> creep(ggggg)
creme,4,reast(yy___) -> probe(_g__g) -> crude(gg__g) -> creme(ggggg)
crepe,3,reast(yy___) -> probe(yg__g) -> crepe(ggggg)
crept,3,reast(yy__g) -> evert(__gyg) -> crept(ggggg)
cress,3,reast(yy_g_) -> prose(_g_gy) -> cress(ggggg)
crest,2,reast(yy_gg) -> crest(ggggg)
crick,4,reast(y____) -> courd(g__y_) -> crimp(ggg__) -> crick(ggggg)
cried,3,reast(yy___) -> probe(_g__y) -> cried(ggggg)
crier,4,reast(yy___) -> probe(_g__y) -> cried(gggg_) -> crier(ggggg)
crime,5,reast(yy___) -> probe(_g__g) -> crude(gg__g) -> creme(gg_gg) -> crime(ggggg)
crimp,3,reast(y____) -> courd(g__y_) -> crimp(ggggg)
crisp,3,reast(y__g_) -> cursi(g_ygy) -> crisp(ggggg)
croak,4,reast(y_y__) -> carom(gyyy_) -> cobra(gy_yy) -> croak(ggggg)
crock,4,reast(y____) -> courd(gy_y_) -> croon(ggg__) -> crock(ggggg)
crone,4,reast(yy___) -> probe(_gg_g) -> drone(_gggg) -> crone(ggggg)
crony,4,reast(y____) -> courd(gy_y_) -> croon(ggg_y) -> crony(ggggg)
crook,4,reast(y____) -> courd(gy_y_) -> croon(gggg_) -> crook(ggggg)
cross,3,reast(y__g_) -> cursi(g_yg_) -> cross(ggggg)
croup,4,reast(y____) -> courd(gyyy_) -> curio(gyy_y) -> croup(ggggg)
crowd,3,reast(y____) -> courd(gy_yg) -> crowd(ggggg)
crown,4,reast(y____) -> courd(gy_y_) -> croon(ggg_g) -> crown(ggggg)
crude,3,reast(yy___) -> probe(_g__g) -> crude(ggggg)
cruel,4,reast(yy___) -> probe(_g__y) -> cried(gg_g_) -> cruel(ggggg)
crumb,3,reast(y____) -> courd(g_gy_) -> crumb(ggggg)
crump,4,reast(y____) -> courd(g_gy_) -> crumb(gggg_) -> crump(ggggg)
crush,3,reast(y__g_) -> cursi(gyyg_) -> crush(ggggg)
crust,3,reast(y__gg) -> trust(_gggg) -> crust(ggggg)
crypt,4,reast(y___g) -> bruit(_g__g) -> front(_g__g) -> crypt(ggggg)
cubic,4,reast(_____) -> build(ygy__) -> pubic(_gggg) -> cubic(ggggg)
cumin,4,reast(_____) -> build(_gy__) -> fungi(_gy_y) -> cumin(ggggg)
curio,3,reast(y____) -> courd(gyyy_) -> curio(ggggg)
curly,4,reast(y____) -> courd(g_yy_) -> curvy(ggg_g) -> curly(ggggg)
curry,3,reast(y____) -> courd(g_yg_) -> curry(ggggg)
curse,3,reast(yy_g_) -> prose(_y_gg) -> curse(ggggg)
curve,3,reast(yy___) -> probe(_y__g) -> curve(ggggg)
curvy,3,reast(y____) -> courd(g_yy_) -> curvy(ggggg)
cutie,3,reast(_y__y) -> title(_yg_g) -> cutie(ggggg)
cyber,4,reast(yy___) -> probe(_y_yy) -> beery(yy_yy) -> cyber(ggggg)
cycle,3,reast(_y___) -> clone(gy__g) -> cycle(ggggg)
cynic,4,reast(_____) -> build(__y__) -> pinky(_yg_y) -> cynic(ggggg)
daddy,4,reast(__y__) -> monal(___y_) -> cadgy(_gg_g) -> daddy(ggggg)
daily,3,reast(__y__) -> monal(___yy) -> daily(ggggg)
dairy,4,reast(y_y__) -> carom(_gy__) -> fader(_gy_y) -> dairy(ggggg)
daisy,3,reast(__yg_) -> lassi(_g_gy) -> daisy(ggggg)
dally,4,reast(__y__) -> monal(___yy) -> daily(gg_gg) -> dally(ggggg)
dance,3,reast(_yy__) -> angel(yy_y_) -> dance(ggggg)
dandy,5,reast(__y__) -> monal(__gy_) -> nancy(_gg_g) -> handy(_gggg) -> dandy(ggggg)
datum,4,reast(__y_y) -> batty(_gg__) -> matlo(ygg__) -> datum(ggggg)
daunt,5,reast(__y_g) -> atilt(y___g) -> ghaut(__yyg) -> vaunt(_gggg) -> daunt(ggggg)
dealt,3,reast(_gg_g) -> leant(ygg_g) -> dealt(ggggg)
death,2,reast(_gg_y) -> death(ggggg)
debar,3,reast(ygy__) -> cedar(_gygg) -> debar(ggggg)
debit,2,reast(_g__g) -> debit(ggggg)
debug,3,reast(_g___) -> henge(_g_y_) -> debug(ggggg)
debut,3,reast(_g__g) -> debit(ggg_g) -> debut(ggggg)
decal,3,reast(_gy__) -> pedal(_gygg) -> decal(ggggg)
decay,3,reast(_gy__) -> pedal(_gyg_) -> decay(ggggg)
decor,3,reast(yg___) -> lered(_gy_y) -> decor(ggggg)
decoy,4,reast(_g___) -> henge(_g___) -> belly(_g__g) -> decoy(ggggg)
decry,4,reast(yg___) -> lered(_gy_y) -> decor(ggg_y) -> decry(ggggg)
defer,3,reast(yg___) -> lered(_gygy) -> defer(ggggg)
deign,4,reast(_g___) -> henge(_gyg_) -> feign(_gggg) -> deign(ggggg)
deity,3,reast(_g__y) -> depth(gg_g_) -> deity(ggggg)
delay,3,reast(_gy__) -> pedal(_gygy) -> delay(ggggg)
delta,3,reast(_gy_y) -> petal(_gyyy) -> delta(ggggg)
delve,4,reast(_g___) -> henge(_g__g) -> medle(_gyyg) -> delve(ggggg)
demon,4,reast(_g___) -> henge(_gy__) -> felon(_g_gg) -> demon(ggggg)
demur,4,reast(yg___) -> lered(_gy_y) -> decor(gg__g) -> demur(ggggg)
denim,3,reast(_g___) -> henge(_gg__) -> denim(ggggg)
dense,2,reast(_g_g_) -> dense(ggggg)
depot,3,reast(_g__g) -> debit(gg__g) -> depot(ggggg)
depth,2,reast(_g__y) -> depth(ggggg)
derby,4,reast(yg___) -> lered(_gg_y) -> nerdy(_ggyg) -> derby(ggggg)
deter,3,reast(yg__y) -> metro(_ggy_) -> deter(ggggg)
detox,3,reast(_g__y) -> depth(gg_y_) -> detox(ggggg)
deuce,4,reast(_g___) -> henge(_g__g) -> medle(_gy_g) -> deuce(ggggg)
devil,4,reast(_g___) -> henge(_g___) -> belly(_gy__) -> devil(ggggg)
diary,3,reast(y_g__) -> drawn(gyg__) -> diary(ggggg)
dicey,3,reast(_y___) -> clone(y___y) -> dicey(ggggg)
digit,4,reast(____g) -> flint(__y_g) -> vomit(___gg) -> digit(ggggg)
dilly,3,reast(_____) -> build(__ygy) -> dilly(ggggg)
dimly,4,reast(_____) -> build(__ygy) -> dilly(gg_gg) -> dimly(ggggg)
diner,3,reast(yy___) -> probe(_y__y) -> diner(ggggg)
dingo,3,reast(_____) -> build(__y_y) -> dingo(ggggg)
dingy,4,reast(_____) -> build(__y_y) -> dingo(gggg_) -> dingy(ggggg)
diode,4,reast(_y___) -> clone(__g_g) -> biome(_gg_g) -> diode(ggggg)
dirge,4,reast(yy___) -> probe(_y__g) -> curve(__g_g) -> dirge(ggggg)
dirty,3,reast(y___y) -> throw(y_g__) -> dirty(ggggg)
disco,4,reast(___y_) -> slunk(y____) -> wispy(_gg__) -> disco(ggggg)
ditch,4,reast(____y) -> ponty(___y_) -> width(_gyyg) -> ditch(ggggg)
ditto,4,reast(____y) -> ponty(_y_g_) -> cloth(__yg_) -> ditto(ggggg)
ditty,4,reast(____y) -> ponty(___gg) -> bawty(___gg) -> ditty(ggggg)
diver,4,reast(yy___) -> probe(_y__y) -> diner(gg_gg) -> diver(ggggg)
dizzy,4,reast(_____) -> build(__y_y) -> dingo(gg___) -> dizzy(ggggg)
dodge,3,reast(_y___) -> clone(__y_g) -> dodge(ggggg)
dodgy,4,reast(_____) -> build(____y) -> dowdy(gg_yg) -> dodgy(ggggg)
dogma,3,reast(__y__) -> monal(yg_y_) -> dogma(ggggg)
doing,4,reast(_____) -> build(__g_y) -> idiom(_ygy_) -> doing(ggggg)
dolly,4,reast(_____) -> build(___gy) -> oddly(yy_gg) -> dolly(ggggg)
donor,3,reast(y____) -> courd(_g_yy) -> donor(ggggg)
donut,3,reast(____g) -> flint(___yg) -> donut(ggggg)
dopey,4,reast(_y___) -> clone(__y_y) -> video(__ygy) -> dopey(ggggg)
doubt,3,reast(____g) -> flint(____g) -> doubt(ggggg)
dough,3,reast(_____) -> build(_y__y) -> dough(ggggg)
dowdy,3,reast(_____) -> build(____y) -> dowdy(ggggg)
dowel,5,reast(_y___) -> clone(_yy_y) -> vowel(_gggg) -> bowel(_gggg) -> dowel(ggggg)
downy,4,reast(_____) -> build(____y) -> dowdy(ggg_g) -> downy(ggggg)
dowry,3,reast(y____) -> courd(_g_gy) -> dowry(ggggg)
dozen,4,reast(_y___) -> clone(__yyy) -> women(_g_gg) -> dozen(ggggg)
draft,3,reast(y_g_g) -> craft(_gggg) -> draft(ggggg)
drain,3,reast(y_g__) -> drawn(ggg_g) -> drain(ggggg)
drake,4,reast(yyg__) -> brace(_gg_g) -> drape(ggg_g) -> drake(ggggg)
drama,3,reast(y_g__) -> drawn(ggg__) -> drama(ggggg)
drank,3,reast(y_g__) -> drawn(ggg_y) -> drank(ggggg)
drape,3,reast(yyg__) -> brace(_gg_g) -> drape(ggggg)
drawl,3,reast(y_g__) -> drawn(gggg_) -> drawl(ggggg)
drawn,2,reast(y_g__) -> drawn(ggggg)
dread,4,reast(yyy__) -> wager(_y_yy) -> bread(_gggg) -> dread(ggggg)
dream,4,reast(yyy__) -> wager(_y_yy) -> bread(_gggy) -> dream(ggggg)
dress,4,reast(yy_g_) -> prose(_g_gy) -> cress(_gggg) -> dress(ggggg)
dried,5,reast(yy___) -> probe(_g__y) -> cried(_gggg) -> fried(_gggg) -> dried(ggggg)
drier,4,reast(yy___) -> probe(_g__y) -> cried(_gggy) -> drier(ggggg)
drift,4,reast(y___g) -> bruit(_g_yg) -> print(_gg_g) -> drift(ggggg)
drill,3,reast(y____) -> courd(___yy) -> drill(ggggg)
drink,4,reast(y____) -> courd(___yy) -> drill(ggg__) -> drink(ggggg)
drive,4,reast(yy___) -> probe(_g__g) -> crude(_g_yg) -> drive(ggggg)
droit,3,reast(y___g) -> bruit(_g_gg) -> droit(ggggg)
droll,4,reast(y____) -> courd(_y_yy) -> drool(ggg_g) -> droll(ggggg)
drone,3,reast(yy___) -> probe(_gg_g) -> drone(ggggg)
drool,3,reast(y____) -> courd(_y_yy) -> drool(ggggg)
droop,4,reast(y____) -> courd(_y_yy) -> drool(gggg_) -> droop(ggggg)
dross,3,reast(y__g_) -> cursi(__yg_) -> dross(ggggg)
drove,4,reast(yy___) -> probe(_gg_g) -> drone(ggg_g) -> drove(ggggg)
drown,4,reast(y____) -> courd(_y_yy) -> drool(ggg__) -> drown(ggggg)
druid,3,reast(y____) -> courd(__gyg) -> druid(ggggg)
drunk,3,reast(y____) -> courd(__gyy) -> drunk(ggggg)
dryer,4,reast(yy___) -> probe(_g__y) -> cried(_g_gy) -> dryer(ggggg)
dryly,4,reast(y____) -> courd(___yy) -> drill(gg_g_) -> dryly(ggggg)
duchy,4,reast(_____) -> build(_g__y) -> dummy(gg__g) -> duchy(ggggg)
dully,3,reast(_____) -> build(_g_gy) -> dully(ggggg)
dummy,3,reast(_____) -> build(_g__y) -> dummy(ggggg)
dumpy,4,reast(_____) -> build(_g__y) -> dummy(ggg_g) -> dumpy(ggggg)
dunce,4,reast(_y___) -> clone(y__yg) -> mince(__ggg) -> dunce(ggggg)
dusky,4,reast(___y_) -> slunk(y_y_y) -> khuds(y_yyy) -> dusky(ggggg)
dusty,3,reast(___yy) -> stylo(yyy__) -> dusty(ggggg)
dutch,4,reast(____y) -> ponty(___y_) -> width(__yyg) -> dutch(ggggg)
duvet,3,reast(_y__g) -> civet(__ggg) -> duvet(ggggg)
dwarf,3,reast(y_g__) -> drawn(gygy_) -> dwarf(ggggg)
dwell,4,reast(_y___) -> clone(_y__y) -> wield(y_ggy) -> dwell(ggggg)
dwelt,3,reast(_y__g) -> civet(___yg) -> dwelt(ggggg)
dying,4,reast(_____) -> build(__g_y) -> idiom(_yg__) -> dying(ggggg)
eager,4,reast(yyy__) -> wager(_gggg) -> lager(_gggg) -> eager(ggggg)
eagle,3,reast(_yy__) -> angel(y_gyy) -> eagle(ggggg)
early,4,reast(yyy__) -> wager(_g_yy) -> carve(_gg_y) -> early(ggggg)
earth,3,reast(yyy_y) -> later(_gyyy) -> earth(ggggg)
easel,3,reast(_yyy_) -> slane(yyy_y) -> easel(ggggg)
eaten,4,reast(_yy_y) -> latte(_gg_y) -> matey(_ggg_) -> eaten(ggggg)
eater,3,reast(yyy_y) -> later(_gggg) -> eater(ggggg)
ebony,3,reast(_y___) -> clone(__ggy) -> ebony(ggggg)
eclat,3,reast(_yy_g) -> cleat(yyygg) -> eclat(ggggg)
edict,3,reast(_y__g) -> civet(yy_yg) -> edict(ggggg)
edify,3,reast(_y___) -> clone(____y) -> edify(ggggg)
eerie,4,reast(yg___) -> lered(_ggy_) -> verge(_gg_g) -> eerie(ggggg)
egret,3,reast(yy__g) -> evert(g_yyg) -> egret(ggggg)
eight,3,reast(_y__g) -> civet(_g_yg) -> eight(ggggg)
eject,3,reast(_y__g) -> civet(y__yg) -> eject(ggggg)
eking,4,reast(_y___) -> clone(___gy) -> eying(g_ggg) -> eking(ggggg)
elate,3,reast(_yg_y) -> plate(_gggg) -> elate(ggggg)
elbow,3,reast(_y___) -> clone(_gy_y) -> elbow(ggggg)
elder,4,reast(yy___) -> probe(_y__y) -> diner(y__gg) -> elder(ggggg)
elect,4,reast(_y__g) -> civet(y__yg) -> eject(g_ggg) -> elect(ggggg)
elegy,4,reast(_y___) -> clone(_g__y) -> bleed(_ggy_) -> elegy(ggggg)
elfin,3,reast(_y___) -> clone(_g_yy) -> elfin(ggggg)
elide,4,reast(_y___) -> clone(_g__g) -> flume(_g__g) -> elide(ggggg)
elite,3,reast(_y__y) -> title(yy_yg) -> elite(ggggg)
elope,4,reast(_y___) -> clone(_gg_g) -> globe(_gg_g) -> elope(ggggg)
elude,4,reast(_y___) -> clone(_g__g) -> flume(_gg_g) -> elude(ggggg)
email,3,reast(_yg__) -> glade(_yg_y) -> email(ggggg)
embed,4,reast(_y___) -> clone(____y) -> edify(gy___) -> embed(ggggg)
ember,4,reast(yy___) -> probe(_y_yy) -> beery(yyyy_) -> ember(ggggg)
emcee,4,reast(_y___) -> clone(y___g) -> piece(__yyg) -> emcee(ggggg)
empty,3,reast(_y__y) -> title(y___y) -> empty(ggggg)
enact,3,reast(_yg_g) -> exalt(g_g_g) -> enact(ggggg)
endow,4,reast(_y___) -> clone(__yyy) -> women(yy_yy) -> endow(ggggg)
enema,3,reast(_yy__) -> angel(yg_y_) -> enema(ggggg)
enemy,4,reast(_y___) -> clone(___yy) -> yewen(yy_yy) -> enemy(ggggg)
enjoy,5,reast(_y___) -> clone(__yyy) -> women(_y_yy) -> envoy(gg_gg) -> enjoy(ggggg)
ennui,4,reast(_y___) -> clone(___yy) -> yewen(_y__y) -> ennui(ggggg)
ensue,3,reast(_y_y_) -> spine(y__yg) -> ensue(ggggg)
enter,4,reast(yy__y) -> toter(__ggg) -> inter(_gggg) -> enter(ggggg)
entry,3,reast(yy__y) -> toter(__gyy) -> entry(ggggg)
envoy,4,reast(_y___) -> clone(__yyy) -> women(_y_yy) -> envoy(ggggg)
epoch,3,reast(_y___) -> clone(y_g_y) -> epoch(ggggg)
epoxy,3,reast(_y___) -> clone(__g_y) -> epoxy(ggggg)
equal,4,reast(_yy__) -> angel(y__yg) -> ideal(__ygg) -> equal(ggggg)
equip,4,reast(_y___) -> clone(____y) -> edify(g_y__) -> equip(ggggg)
erase,2,reast(yygg_) -> erase(ggggg)
erect,3,reast(yy__g) -> evert(g_gyg) -> erect(ggggg)
erode,4,reast(yy___) -> probe(_gg_g) -> drone(ygg_g) -> erode(ggggg)
error,4,reast(yy___) -> probe(_gy_y) -> credo(_gy_y) -> error(ggggg)
erupt,3,reast(yy__g) -> evert(g__yg) -> erupt(ggggg)
essay,3,reast(_yyy_) -> slane(y_y_y) -> essay(ggggg)
ester,3,reast(yy_yy) -> stern(yyyy_) -> ester(ggggg)
ether,3,reast(yy__y) -> toter(y__gg) -> ether(ggggg)
ethic,3,reast(_y__y) -> title(yy__y) -> ethic(ggggg)
ethos,3,reast(_y_yy) -> stole(ygy_y) -> ethos(ggggg)
etude,4,reast(_y__y) -> title(y___g) -> chute(__gyg) -> etude(ggggg)
evade,3,reast(_yg__) -> glade(__ggg) -> evade(ggggg)
event,3,reast(_y__g) -> civet(__yyg) -> event(ggggg)
every,5,reast(yy___) -> probe(_y__y) -> diner(___yy) -> query(__ggg) -> every(ggggg)
evict,3,reast(_y__g) -> civet(yyyyg) -> evict(ggggg)
evoke,4,reast(_y___) -> clone(__g_g) -> biome(__g_g) -> evoke(ggggg)
exact,3,reast(_yg_g) -> exalt(ggg_g) -> exact(ggggg)
exalt,2,reast(_yg_g) -> exalt(ggggg)
excel,3,reast(_y___) -> clone(yy__y) -> excel(ggggg)
exert,3,reast(yy__g) -> evert(g_ggg) -> exert(ggggg)
exile,4,reast(_y___) -> clone(_y__g) -> liege(yyy_g) -> exile(ggggg)
exist,3,reast(_y_gg) -> quest(__ygg) -> exist(ggggg)
expel,4,reast(_y___) -> clone(_y__y) -> wield(__yy_) -> expel(ggggg)
extol,4,reast(_y__y) -> title(__gyy) -> hotel(_ygyg) -> extol(ggggg)
extra,3,reast(yyy_y) -> later(_ygyy) -> extra(ggggg)
exult,4,reast(_y__g) -> civet(___yg) -> dwelt(__ygg) -> exult(ggggg)
eying,3,reast(_y___) -> clone(___gy) -> eying(ggggg)
fable,3,reast(_yy__) -> angel(y__yy) -> fable(ggggg)
facet,3,reast(_yy_g) -> cleat(y_yyg) -> facet(ggggg)
faint,4,reast(__y_g) -> atilt(y_g_g) -> paint(_gggg) -> faint(ggggg)
fairy,4,reast(y_y__) -> carom(_gy__) -> fader(gg__y) -> fairy(ggggg)
faith,4,reast(__y_y) -> batty(_g_g_) -> cacti(_g_gy) -> faith(ggggg)
false,3,reast(_yyg_) -> amuse(y__gg) -> false(ggggg)
fancy,4,reast(__y__) -> monal(__gy_) -> nancy(_gggg) -> fancy(ggggg)
fanny,4,reast(__y__) -> monal(__gy_) -> nancy(ygg_g) -> fanny(ggggg)
farce,4,reast(yyy__) -> wager(_g_yy) -> carve(ygg_g) -> farce(ggggg)
fatal,4,reast(__y_y) -> batty(_gg__) -> matlo(_ggy_) -> fatal(ggggg)
fatty,3,reast(__y_y) -> batty(_gggg) -> fatty(ggggg)
fault,4,reast(__y_g) -> atilt(y__gg) -> vault(_gggg) -> fault(ggggg)
